tickerName,1m,5m,15m,1h,4h,6h,12h,1d,1w,1month
BTCUSDT,,,,317.491353362218,,,,,,
ETHUSDT,,,,,,,,,,
LUNAUSDT,,,,,,,,,,
AVAXUSDT,,,,,,,,,,
XRPUSDT,,,,,,,,,,
MATICUSDT,,,,,,,,,,
SOLUSDT,,,,,,,,,,
MANAUSDT,,,,,,,,,,
SANDUSDT,,,,,,,,,,
GALAUSDT,,,,,,,,,,
DOTUSDT,,,,,,,,,,
ADAUSDT,,,,,,,,,,
DOGEUSDT,,,,,,,,,,
LTCUSDT,,,,,,,,,,
EOSUSDT,,,,,,,,,,
LINKUSDT,,,,,,,,,,
NEARUSDT,,,,,,,,,,
CRVUSDT,,,,,,,,,,
FTMUSDT,,,,,,,,,,
REEFUSDT,,,,,,,,,,
ATOMUSDT,,,,,,,,,,

ICPUSDT,,,,,,,,,,
AXSUSDT,,,,,,,,,,
EGLDUSDT,,,,,,,,,,
XLMUSDT,,,,,,,,,,
ARUSDT,,,,,,,,,,
FILUSDT,,,,,,,,,,
XTZUSDT,,,,,,,,,,
DYDXUSDT,,,,,,,,,,
SUSHIUSDT,,,,,,,,,,
AAVEUSDT,,,,,,,,,,
ETCUSDT,,,,,,,,,,
BCHUSDT,,,,325,,,,,,
TRXUSDT,,,,,,,,,,
THETAUSDT,,,,,,,,,,
1INCHUSDT,,,,,,,,,,
DASHUSDT,,,,104.1818835307344,,,,,,
RENUSDT,,,,,,,,,,
BNBUSDT,,,,,,,,,,
