tickerName,1m,5m,15m,1h,4h,6h,12h,1d,1w,1month
SUSHIUSDT,,,,7.549160000000001,,,,,,
AAVEUSDT,,,,285.9160000000001,,,,,,
ETCUSDT,,,,56.1974,,,,55.58630000000001,,
BCHUSDT,,,,613.434,,,609.7329999999999,,,
TRXUSDT,,,,0.1261535,,,0.1263643,,,
BTCUSDT,,,,78842.67929999999,,,,,,
ETHUSDT,,,,,,,,,,
LUNAUSDT,,,,,,,103.7705,,,
AVAXUSDT,,,,164.2356,,,,,,
XRPUSDT,,,,,,1.585652,,,,
MATICUSDT,,,,3.17202,,,,,,
SOLUSDT,,,,,,,,,,
MANAUSDT,,,,,,,5.760173,,,
SANDUSDT,,,,6.771506,,,,,,
GALAUSDT,,,,,,,0.5129873,,,
DOTUSDT,,,,34.9189,,,,,,
ADAUSDT,,,,1.94763,,,,,,
DOGEUSDT,,,,0.279693,,,,,,
LTCUSDT,,,,227.071,,,,,,
EOSUSDT,,,,4.50713,,,,,,
LINKUSDT,,,,30.2827,,,,,,
NEARUSDT,,,,,,,,,,
CRVUSDT,,,,,,,,,,
FTMUSDT,,,,,,,,,,
REEFUSDT,,,,0.0209684,,,,,,
ATOMUSDT,,,,,,,,,,
ICPUSDT,,,,,,,,,,
AXSUSDT,,,,,,,109.9106,,,
EGLDUSDT,,,,320.0079,,,325.8996,,,
XLMUSDT,,,,,,,,,,
ARUSDT,,,,,,,,,,
FILUSDT,,,,40.751,,,,,,
XTZUSDT,,,,,,,,,,
DYDXUSDT,,,,12.16614,,,,,,
THETAUSDT,,,,6.24856,,,,,,
1INCHUSDT,,,,3.08789,,,,,,
DASHUSDT,,,,,,,,,,
RENUSDT,,,,0.609046,,,,,,
BNBUSDT,,,,783.6609999999999,,,779.2429999999999,,,
