tickerName,1m,5m,15m,1h,4h,6h,12h,1d,1w,1month
BTCUSDT,,0,,0,0,0,0,0,,
ETHUSDT,,0,,0,0,0,0,0,,
LUNAUSDT,,0,,0,0,0,0,0,,
AVAXUSDT,,0,,0,0,0,0,0,,
XRPUSDT,,0,,0,0,0,0,0,,
MATICUSDT,,0,,0,0,0,0,0,,
SOLUSDT,,0,,0,0,0,0,0,,
MANAUSDT,,0,,0,0,0,0,0,,
SANDUSDT,,0,,0,0,0,0,0,,
GALAUSDT,,0,,0,0,0,0,0,,
DOTUSDT,,0,,0,0,0,0,0,,
ADAUSDT,,0,,0,0,0,0,0,,
DOGEUSDT,,0,,0,0,0,0,0,,
LTCUSDT,,0,,0,0,0,0,0,,
EOSUSDT,,0,,0,0,0,0,0,,
LINKUSDT,,0,,0,0,0,0,0,,
NEARUSDT,,0,,0,0,0,0,0,,
CRVUSDT,,0,,0,0,0,0,0,,
FTMUSDT,,0,,0,0,0,0,0,,
REEFUSDT,,0,,0,0,0,0,0,,
ATOMUSDT,,0,,0,0,0,0,0,,
ICPUSDT,,0,,0,0,0,0,0,,
AXSUSDT,,0,,0,0,0,0,0,,
EGLDUSDT,,0,,0,0,0,0,0,,
XLMUSDT,,0,,0,0,0,0,0,,
ARUSDT,,0,,0,0,0,0,0,,
FILUSDT,,0,,0,0,0,0,0,,
XTZUSDT,,0,,0,0,0,0,0,,
DYDXUSDT,,0,,0,0,0,0,0,,
SUSHIUSDT,,0,,0,0,0,0,0,,
AAVEUSDT,,0,,0,0,0,0,0,,
ETCUSDT,,0,,0,0,0,0,0,,
BCHUSDT,,0,,0,0,0,0,0,,
TRXUSDT,,0,,0,0,0,0,0,,
THETAUSDT,,0,,0,0,0,0,0,,
1INCHUSDT,,0,,0,0,0,0,0,,
DASHUSDT,,0,,0,0,0,0,0,,
RENUSDT,,0,,0,0,0,0,0,,
BNBUSDT,,0,,0,0,0,0,0,,
